fid,latitude,longitude,TOTAL_SCORE,cluster
4174,42.28703077,-71.05390043,51,147
4175,42.28705603,-71.05376038,51,147
4176,42.28708903,-71.05362542,51,147
4177,42.28719154,-71.05302364,51,147
4178,42.28721766,-71.05288343,51,147
4179,42.28724437,-71.05273688,51,147
4180,42.28746125,-71.05134199,51,147
4181,42.28752706,-71.05099106,51,147
4182,42.28753182,-71.04929711,51,200
4183,42.2874593,-71.04980834,51,200
4184,42.28743017,-71.04995323,51,200
4185,42.28736384,-71.05028065,59,200
4186,42.28733135,-71.05044985,61,200
4187,42.28711308,-71.05161309,51,147
4188,42.28709467,-71.05182527,56,147
4189,42.2870811,-71.05199728,56,147
4190,42.28706397,-71.05219822,51,147
4191,42.28793044,-71.05173027,61,147
4192,42.28776141,-71.05205641,51,147
4193,42.28770364,-71.05237654,51,147
4194,42.28760513,-71.05291922,51,147
4195,42.28742567,-71.05355345,69,147
4196,42.28743464,-71.05386815,66,147
4197,42.28850172,-71.05295994,51,147
4198,42.2884586,-71.05274891,51,147
4199,42.28834842,-71.05269399,51,147
4200,42.28823561,-71.0526375,51,147
4201,42.28808674,-71.0524682,51,147
4202,42.28804819,-71.0526453,52,147
4203,42.28818965,-71.05294196,52,147
4204,42.28788378,-71.05367486,61,147
4205,42.28785026,-71.05381921,51,147
4206,42.28781913,-71.053955,51,147
4207,42.28778293,-71.05440966,51,147
4208,42.28887067,-71.05232713,61,147
4209,42.28879297,-71.05210782,51,147
4210,42.28894512,-71.05206445,51,147
4211,42.28908019,-71.0517389,51,147
4212,42.28884864,-71.05152181,51,147
4213,42.28875505,-71.05147488,51,147
4214,42.2885805,-71.05150457,52,147
4215,42.28842681,-71.05124218,58,147
4216,42.28833054,-71.05139143,51,147
4217,42.28852798,-71.05193659,58,147
4218,42.28842955,-71.05231424,51,147
4219,42.28858849,-71.05240405,51,147
4220,42.2892148,-71.05122417,51,80
4221,42.28931708,-71.05067876,51,80
4222,42.28949631,-71.0500107,51,80
4223,42.2898161,-71.04864668,51,80
4224,42.2890088,-71.05108696,59,80
4225,42.28797316,-71.05060515,57,80
4226,42.28824558,-71.05057737,57,80
4227,42.2883583,-71.05073606,61,80
4228,42.28849141,-71.05080096,63,80
4229,42.28890347,-71.04800751,61,80
4230,42.28818995,-71.04750323,56,80
4231,42.28657865,-71.04846651,51,200
4232,42.28673864,-71.04853675,61,200
4233,42.28697851,-71.04848714,62,200
4234,42.28749263,-71.04896166,51,200
4235,42.2876391,-71.04886543,61,200
4236,42.28777087,-71.04892687,60,200
4237,42.28794675,-71.0490065,51,200
4238,42.28833701,-71.04865586,57,80
4239,42.2882969,-71.04888967,57,80
4240,42.28825498,-71.04912295,58,80
4241,42.28821365,-71.04935643,61,80
4242,42.28819362,-71.04959699,51,80
4243,42.28817593,-71.04979058,66,80
4244,42.28812168,-71.05007707,57,80
4245,42.28801544,-71.05038047,56,80
